Elapsed_time,Accuracy (%),Method
30,0.23817139177390018,Pisces
60,0.33333451234127615,Pisces
90,0.3777833230009785,Pisces
120,0.5177143761076959,Pisces
150,0.5716925915073465,Pisces
180,0.5737777770784166,Pisces
210,0.5940370365036859,Pisces
240,0.6142833323072504,Pisces
270,0.6234557471496393,Pisces
300,0.622725862092168,Pisces
330,0.6292222222723142,Pisces
360,0.6292777777760117,Pisces
390,0.639961537767883,Pisces
420,0.6296481485593887,Pisces
450,0.6420076922078418,Pisces
480,0.6393814820691391,Pisces
30,0.18664869854320584,Pisces
60,0.2634288403871775,Pisces
90,0.4224888838065995,Pisces
120,0.4940753081109789,Pisces
150,0.5256151510286813,Pisces
180,0.5789492061667972,Pisces
210,0.5920848482233105,Pisces
240,0.6001732508035353,Pisces
270,0.6117904392035433,Pisces
300,0.616379586490365,Pisces
330,0.6069925929987873,Pisces
360,0.6105874999097652,Pisces
390,0.6269555554972754,Pisces
420,0.6180740743490754,Pisces
450,0.5842641082056573,Pisces
480,0.4119646038090734,Pisces
30,0.1725716278141553,Pisces
60,0.27925957107656674,Pisces
90,0.4023296148388473,Pisces
120,0.5082376527118094,Pisces
150,0.5444444435225593,Pisces
180,0.5796460312443688,Pisces
210,0.5926616159236793,Pisces
240,0.5870881950146623,Pisces
270,0.591645266930851,Pisces
300,0.6092255138444311,Pisces
330,0.6216808079815874,Pisces
360,0.6223641975146753,Pisces
390,0.6329171716381805,Pisces
420,0.6334133340023181,Pisces
450,0.6334477775937539,Pisces
480,0.6277571438895332,Pisces
30,0.2164352226821525,Pisces
60,0.2963004709091029,Pisces
90,0.40776295631638276,Pisces
120,0.5069722205155426,Pisces
150,0.5487020195629861,Pisces
180,0.5716968244899265,Pisces
210,0.6019191915713176,Pisces
240,0.6175386829026933,Pisces
270,0.623297932920037,Pisces
300,0.6189568476487192,Pisces
330,0.6224070709230923,Pisces
360,0.6253537035107612,Pisces
390,0.6380633984754288,Pisces
420,0.6336848485332547,Pisces
450,0.6326743589700796,Pisces
480,0.6343634920101318,Pisces
30,0.26713427740772283,Pisces
60,0.33223356818786465,Pisces
90,0.4133611016260253,Pisces
120,0.5321111096106635,Pisces
150,0.5530212560410661,Pisces
180,0.5737490190512994,Pisces
210,0.5891951690904185,Pisces
240,0.6070714281195686,Pisces
270,0.6070674605435322,Pisces
300,0.5975853176863895,Pisces
330,0.6234787876569863,Pisces
360,0.6165299384506396,Pisces
390,0.6217416663308939,Pisces
420,0.6239533334530725,Pisces
450,0.6313126984297283,Pisces
480,0.6294241831285502,Pisces
30,0.41851388504637604,Polaris
60,0.5397666663461261,Polaris
90,0.6022055555383364,Polaris
120,0.61494920629244,Polaris
150,0.6205121211552861,Polaris
180,0.6170777783446841,Polaris
210,0.6077545459983325,Polaris
240,0.6237535354045907,Polaris
270,0.623233333545261,Polaris
300,0.6232818182791122,Polaris
330,0.6236296295135109,Polaris
360,0.6272515150330282,Polaris
390,0.6301333333350994,Polaris
420,0.6261712962252123,Polaris
450,0.6285959593305683,Polaris
480,0.6322694446153111,Polaris
30,0.3483740680482652,Polaris
60,0.49001025572801243,Polaris
90,0.5589858585733355,Polaris
120,0.5903727261365063,Polaris
150,0.6156070703939958,Polaris
180,0.6237666665818956,Polaris
210,0.6222777779905885,Polaris
240,0.630244443904029,Polaris
270,0.6226555559635163,Polaris
300,0.6301767683101424,Polaris
330,0.6294170941564772,Polaris
360,0.6301555553012423,Polaris
390,0.6289709400898371,Polaris
420,0.6346575756858094,Polaris
450,0.6368527777367168,Polaris
480,0.6342404038366645,Polaris
30,0.3723888798713683,Polaris
60,0.4519883057136982,Polaris
90,0.5222977736150953,Polaris
120,0.5796666679488288,Polaris
150,0.5942242419970156,Polaris
180,0.6003818181403959,Polaris
210,0.6049282853434784,Polaris
240,0.5723485161145527,Polaris
270,0.5925518509334988,Polaris
300,0.6044000003317483,Polaris
330,0.6228282828032369,Polaris
360,0.6124535351791767,Polaris
390,0.6309373733838399,Polaris
420,0.6147666669431359,Polaris
450,0.6294727276243345,Polaris
480,0.6293592591059649,Polaris
30,0.3711888787481519,Polaris
60,0.48843333571840214,Polaris
90,0.5686641016120585,Polaris
120,0.583430434232979,Polaris
150,0.614051513189258,Polaris
180,0.6114282823822715,Polaris
210,0.6237238093270197,Polaris
240,0.6218606055529431,Polaris
270,0.6253202023458,Polaris
300,0.6130592603118331,Polaris
330,0.6162979785447169,Polaris
360,0.620066666445106,Polaris
390,0.6229111110077964,Polaris
420,0.627755555819582,Polaris
450,0.6303999998269257,Polaris
480,0.6338555556394435,Polaris
30,0.24919739877304,Polaris
60,0.3440910157943166,Polaris
90,0.40058973914924845,Polaris
120,0.5208358418744097,Polaris
150,0.5098774412658479,Polaris
180,0.541669068656025,Polaris
210,0.5763873735946838,Polaris
240,0.5955261436167886,Polaris
270,0.6104682541260643,Polaris
300,0.6299656562766643,Polaris
330,0.6199379085891387,Polaris
360,0.6365999997615814,Polaris
390,0.6325555554999246,Polaris
420,0.6398942650965892,Polaris
450,0.6570555554191698,Polaris
480,0.6528995168434826,Polaris
30,0.23107115644315168,FedBuff
60,0.35370945431549217,FedBuff
90,0.40181024656744085,FedBuff
120,0.5255584221838197,FedBuff
150,0.5047824921298107,FedBuff
180,0.5310114106438897,FedBuff
210,0.5872893944530777,FedBuff
240,0.5732637250347075,FedBuff
270,0.5975373015498359,FedBuff
300,0.6176641409731873,FedBuff
330,0.6198872548806121,FedBuff
360,0.6332194431556595,FedBuff
390,0.6268786323922312,FedBuff
420,0.6322362006677948,FedBuff
450,0.6353222221731712,FedBuff
480,0.6527405797658911,FedBuff
30,0.26058061358725765,FedBuff
60,0.3952118192610165,FedBuff
90,0.4033991398479184,FedBuff
120,0.5013974909794373,FedBuff
150,0.5220326597478655,FedBuff
180,0.5381498497423826,FedBuff
210,0.5705419188004551,FedBuff
240,0.6067516339411143,FedBuff
270,0.6114087301657314,FedBuff
300,0.6288565654554753,FedBuff
330,0.6310741829952384,FedBuff
360,0.6404937498905592,FedBuff
390,0.6451128204423139,FedBuff
420,0.653378136274806,FedBuff
450,0.6440555556296448,FedBuff
480,0.6579855073310327,FedBuff
30,0.23943664033153655,FedBuff
60,0.3524508247286997,FedBuff
90,0.4241717821689752,FedBuff
120,0.5406598553805368,FedBuff
150,0.5053680147277786,FedBuff
180,0.5304351338620659,FedBuff
210,0.5798257568500259,FedBuff
240,0.5998098040267532,FedBuff
270,0.601788094429175,FedBuff
300,0.6256166662017504,FedBuff
330,0.6345117645025253,FedBuff
360,0.647344444182184,FedBuff
390,0.6461789171213438,FedBuff
420,0.6566978494082728,FedBuff
450,0.6589666666125739,FedBuff
480,0.6524550727861514,FedBuff
30,0.22568675887781953,FedBuff
60,0.37363002128916706,FedBuff
90,0.4405794770839887,FedBuff
120,0.5286774192922858,FedBuff
150,0.5119511787827168,FedBuff
180,0.5385630623657066,FedBuff
210,0.5697308078276991,FedBuff
240,0.5897101302509994,FedBuff
270,0.6149746031049699,FedBuff
300,0.5967419196357631,FedBuff
330,0.6266401955715192,FedBuff
360,0.6347520832005473,FedBuff
390,0.6411985754642052,FedBuff
420,0.6430731183824574,FedBuff
450,0.6366000001028875,FedBuff
480,0.6419106281653695,FedBuff
30,0.24919739877304,FedBuff
60,0.3440910157943166,FedBuff
90,0.40058973914924845,FedBuff
120,0.5208358418744097,FedBuff
150,0.5098774412658479,FedBuff
180,0.541669068656025,FedBuff
210,0.5763873735946838,FedBuff
240,0.5955261436167886,FedBuff
270,0.6104682541260643,FedBuff
300,0.6299656562766643,FedBuff
330,0.6199379085891387,FedBuff
360,0.6365999997615814,FedBuff
390,0.6325555554999246,FedBuff
420,0.6398942650965892,FedBuff
450,0.6570555554191698,FedBuff
480,0.6528995168434826,FedBuff
