round,elapsed_time,accuracy
1,350.0000002384186,138.82143103391363
2,700.0000002384186,72.38665790715595
3,1050.0000002384186,54.656446180281115
4,1400.0000002384186,45.6451927333068
5,1750.0000002384186,39.737708280282234
6,2100.0000002384186,36.319508200042115
7,2450.0000002384186,33.315394660844525
8,2800.0000002384186,31.580171213389185
9,3150.0000002384186,29.761919969161802
10,3500.0000002384186,28.377573692267692
11,3850.0000002384186,27.380168749420648
12,4200.000000238419,26.476063590529748
13,4550.000000238419,25.76241446245862
14,4900.000000238419,24.917680266978603
15,5250.000000238419,24.36083483975932
16,5600.000000238419,23.79091191933098
17,5950.000000238419,23.173589321704494
18,6300.000000238419,22.60329374001669
19,6650.000000238419,22.421924088877404
20,7000.000000238419,22.1557770646756
21,7350.000000238419,21.879780475964168
22,7700.000000238419,21.594563169932922
23,8050.000000238419,21.46627844033394
24,8400.000000238419,21.051524704771854
25,8750.000000238419,20.82775750481644
26,9100.000000238419,20.551966087550312
27,9450.000000238419,20.543912114483604
28,9800.000000238419,20.593540231064
29,10150.000000238419,20.407924098767662
30,10500.000000238419,20.457701696894038
31,10850.000000238419,20.270013718515624
32,11200.000000238419,20.304970094527935
33,11550.000000238419,20.12109141462029
34,11900.000000238419,20.202525839880092
35,12250.000000238419,20.109614888649325
36,12600.000000238419,20.083530530798225
37,12950.000000238419,20.222404325499106
38,13300.000000238419,20.24501484370531
39,13650.000000238419,20.12675775515682
40,14000.000000238419,20.29540636924615
41,14350.000000238419,20.188480534527255
42,14700.000000238419,20.206365080665545
43,15050.000000238419,20.40784138325477
44,15400.000000238419,20.649293635102712
45,15750.000000238419,20.581808954326508
46,16100.000000238419,20.469245108336487
47,16450.00000023842,20.513776942339597
48,16800.00000023842,20.46402878763609
49,17150.00000023842,20.63265508660095
50,17500.00000023842,20.514774703175963
51,17850.00000023842,20.714500444121533
52,18200.00000023842,20.752499208291475
53,18550.00000023842,20.70458586428674
54,18900.00000023842,20.775098126147462
55,19250.00000023842,20.999385983075165
56,19600.00000023842,20.846799825918072
57,19950.00000023842,21.00406270904881
58,20300.00000023842,21.17860322622422
59,20650.00000023842,21.36355167928406
60,21000.00000023842,21.457262489415037
61,21350.00000023842,21.37678860733153
62,21700.00000023842,21.50844059932605
63,22050.00000023842,21.678869984993728
64,22400.00000023842,21.990944824230265
65,22750.00000023842,22.051659110710247
66,23100.00000023842,22.18396574825269
67,23450.00000023842,22.2736694168007
68,23800.00000023842,22.427922882479606
69,24150.00000023842,22.26527516705708
70,24500.00000023842,22.49836543814878
71,24850.00000023842,22.59976419102779
72,25200.00000023842,22.601229829947787
73,25550.00000023842,22.696657232915314
74,25900.00000023842,22.95055837056644
75,26250.00000023842,22.866937216902862
76,26600.00000023842,22.955571122914492
77,26950.00000023842,23.300458170966184
78,27300.00000023842,23.439910924822676
79,27650.00000023842,23.36246503776106
80,28000.00000023842,23.604092473404236
81,28350.00000023842,23.67085753864984
82,28700.00000023842,23.89973152586516
83,29050.00000023842,23.90429047265143
84,29400.00000023842,23.752955536971704
85,29750.00000023842,24.270310350467867
86,30100.00000023842,24.315933382250684
87,30450.00000023842,24.414153156907055
88,30800.00000023842,24.444527443857652
89,31150.00000023842,24.607530666641644
90,31500.00000023842,24.787696322011385
91,31850.00000023842,25.09611350277531
92,32200.00000023842,25.185334332442814
93,32550.00000023842,25.3483333949009
94,32900.00000023842,25.419729082746187
95,33250.00000023842,25.621578484969252
96,33600.00000023842,25.68747166932497
97,33950.00000023842,25.642307441619252
98,34300.00000023842,26.059332999338796
99,34650.00000023842,26.20218164419299
100,35000.00000023842,26.208766901183914
